,ADM0_A3,net_export,population,final_demand,CONTINENT,CONTINENT_code,demand_capita,net_export_capita,colors
77,SUR,85.20796511217983,673345.0149995409,3041924.3156268136,South America,6,4.517631003221859,0.00012654428742186195,#bf5b17
78,FJI,95.03582387844823,106903.40637032525,4024750.059101806,Oceania,4,37.648473474826666,0.0008889877984732648,#386cb0
79,NIC,95.3758108293456,6851603.554412874,15225549.643669313,North America,3,2.2221877729430326,1.392021737275173e-05,#a6cee3
80,BLR,98.82808489745776,9200523.059897505,25347026.495710514,Europe,2,2.7549549444847417,1.0741572436052208e-05,#fdc086
81,BMU,104.60592793067526,66846.18533539142,5101454.458561827,North America,3,76.31631383250952,0.0015648750546621262,#a6cee3
82,ATG,109.34461954554038,98895.92659612204,1211017.603080885,North America,3,12.245373947771597,0.0011056534208136745,#a6cee3
83,MWI,128.2203462442692,18571766.306657054,5791870.082268638,Africa,0,0.3118642560235394,6.904046934852318e-06,#7fc97f
84,BWA,135.63264539556928,2328869.6852201307,14643660.011480177,Africa,0,6.287882960740253,5.823968865941459e-05,#7fc97f
85,DJI,143.4656018559226,1155701.9532031757,2088224.9416448332,Africa,0,1.806888822725488,0.00012413719770766967,#7fc97f
86,BTN,147.3777654093671,1127814.3458092513,2517614.226880154,Asia,1,2.232294912930609,0.0001306755548526187,#beaed4
87,ZWE,170.09735688623505,14269305.281846115,19620512.88443101,Africa,0,1.3750152860905482,1.1920507237492393e-05,#7fc97f
88,LKA,188.13427231795686,21636246.23728932,87247872.55599487,Asia,1,4.032486578269117,8.695328674606871e-06,#beaed4
89,MDV,202.68433065876437,590955.829051213,3374814.5165576204,Seven seas (open ocean),5,5.710772871089075,0.00034297712399956626,#f0027f
90,MLT,212.35018131683722,441378.0929969541,9564429.573161589,Europe,2,21.669470517259207,0.00048110720646550673,#fdc086
91,ZMB,215.14596228305754,18616945.770926997,22021205.628327154,Africa,0,1.1828581282498223,1.155645855825817e-05,#7fc97f
92,BRN,215.66812236245593,470702.8486485294,9453401.857905352,Asia,1,20.08358752246291,0.00045818316796186173,#beaed4
93,SYC,219.67645654114892,105109.54404311148,1362116.1181560408,Seven seas (open ocean),5,12.959014621901114,0.0020899763055869307,#f0027f
94,ISL,221.64835016123368,367043.51601354964,17399848.19121717,Europe,2,47.40540952799407,0.0006038748554082927,#fdc086
95,SVN,241.90745354405317,2163416.7730561527,40504226.55553814,Europe,2,18.72234100243191,0.00011181731442449823,#fdc086
96,BHS,247.67795600670854,443856.022595522,11289847.300756909,North America,3,25.435832175347418,0.0005580141834245493,#a6cee3
97,MDG,253.6116171340418,27901050.812395375,10788464.380853465,Africa,0,0.386668747832987,9.089679770102846e-06,#7fc97f
98,LBR,259.75581472839553,4630175.87565457,1509432.9790207231,Africa,0,0.3259990591193977,5.610063671537612e-05,#7fc97f
99,MRT,272.53590976717135,4696065.269056267,5982346.814403344,Africa,0,1.2739062324841943,5.803494929318579e-05,#7fc97f
100,LIE,273.5808607485871,25821.038684389114,4910558.016544179,Europe,2,190.17662598960453,0.01059526938836851,#fdc086
101,TUN,278.3515825254831,11844807.184454134,45886418.39128328,Africa,0,3.873969215092626,2.3499882960594674e-05,#7fc97f
