,ADM0_A3,NAME,net_export,export_of_death,import_of_death,population,final_demand,CONTINENT,CONTINENT_code,net_export_capita,final_demand_capita
125,NOR,Norway,3608.430529480001,3634.2847954316844,25.854265951683598,5276355.127806626,358524039332.3348,Europe,2,0.0006838869716072392,67949.18663508775
126,PSE,,-785.624078587452,520.2893577129817,1305.9134363004337,6303693.315526505,20300552276.194572,Asia,1,-0.00012462917202085268,3220.4219431476267
127,OMN,Oman,4594.482062323394,5078.987358257373,484.5052959339793,4033494.2405500524,64926828138.465546,Asia,1,0.001139082341096101,16096.918519365829
128,PAK,Pakistan,17666.219223549415,47018.34497511748,29352.125751568063,230133563.82818946,288303490381.7909,Asia,1,7.676507037773275e-05,1252.7659398566882
129,PAN,Panama,282.7851578915988,742.3879241236275,459.6027662320287,4095282.021474819,56582945582.94042,North America,3,6.905144905985263e-05,13816.617582435363
130,PNG,Papua New Guinea,586.4318333838262,621.9884931247401,35.556659740913915,9397865.713221172,17156828237.46074,Oceania,4,6.240053340609219e-05,1825.6090011292722
131,PRY,Paraguay,561.1420670564816,806.0338011839556,244.89173412747402,7483972.073258206,33919402220.048653,South America,6,7.497917704176893e-05,4532.272687287244
132,PER,Peru,-2006.4122572913366,2932.860745506652,4939.273002797989,35854479.41802674,181299963765.0208,South America,6,-5.595987697655882e-05,5056.549884639176
133,PHL,Philippines,1929.6223928450854,10704.51601906577,8774.893626220684,110181489.1535412,349103172521.0684,Asia,1,1.751312682075025e-05,3168.4375951261895
134,POL,Poland,1134.6268402474416,14263.70875344429,13129.08191319685,39268484.82147778,450016343332.3165,Europe,2,2.8894082504218773e-05,11459.987452487127
135,PRT,Portugal,1215.8175248916464,2871.4423338641973,1655.624808972551,10670160.566194622,199963168712.34967,Europe,2,0.00011394556973618742,18740.408588215276
136,QAT,Qatar,6053.564845575848,6324.987526532654,271.42268095680566,6744196.737563003,146120332974.1868,Asia,1,0.0008975961231764552,21666.083991936892
137,KOR,South Korea,9774.294000287364,24514.979895018543,14740.68589473118,52307152.348272875,1384341868337.1418,Asia,1,0.00018686343189183572,26465.632445824616
138,MDA,Moldova,-1540.6405984274484,94.2446173002192,1634.8852157276676,3532321.7118655248,178768257.72064072,Europe,2,-0.000436155232761568,50.609279760712354
139,ROU,Romania,-16225.407631850965,4709.99227679852,20935.399908649484,33144182.123947073,181800507592.45633,Europe,2,-0.0004895401422540432,5485.140858585352
140,RUS,Russia,-13291.401035606461,22823.798082731046,36115.19911833751,143377575.41945323,1174920909704.3992,Europe,2,-9.270209094220117e-05,8194.593235847033
141,RWA,Rwanda,-757.502308090226,608.8800012920203,1366.3823093822464,13704742.026523137,9801564669.983877,Africa,0,-5.527300744692694e-05,715.1951237764753
142,WSM,Samoa,33.33155672813093,33.33155672813093,0.0,256394.8933137402,905419025.6080061,Oceania,4,0.000130000860381195,3531.3457842550747
143,SMR,San Marino,70.8290137548862,72.43520052678274,1.6061867718965266,6383.400437729859,890122709.1656954,Europe,2,0.011095812403721811,139443.34494582505
144,STP,São Tomé and Principe,8.596938000599195,26.281662548041876,17.68472454744268,221327.2823568256,443544430.9214653,Africa,0,3.88426492615544e-05,2004.0205897724775
145,SAU,Saudi Arabia,37645.48636511252,40775.339887906695,3129.853522794179,36856019.03385983,638018835685.4972,Asia,1,0.0010214203094080076,17311.11640406268
146,SEN,Senegal,98.37577710136156,529.9420248439079,431.56624774254635,16769110.729353016,20906298828.020977,Africa,0,5.866487417795057e-06,1246.714817824307
147,SRB,Serbia,6104.41635685544,10607.196922578554,4502.780565723114,7207824.682464472,40636441290.919426,Europe,2,0.0008469152103139448,5637.823210348281
