Country,Industries,TID,TFD,FID,FFD,HID,HFD,Gross_output,Tol_export
ALB,Hotels and Restraurants,217142.57886947284,565826.0622147493,62027.03030947285,9650.2756447492,155115.54856,556175.7865700001,782968.6410842221,71677.30595422204
ALB,Transport,1023273.6149437996,161886.42052687437,69593.71844379936,15896.647302874399,953679.8965000003,145989.77322399998,1185160.0354706738,85490.36574667375
ALB,Post and Telecommunications,396634.34963436465,284525.77189448377,46510.68085436466,6956.823280483801,350123.66878,277568.948614,681160.1215288484,53467.50413484847
ALB,Finacial Intermediation and Business Activities,1915270.8969541609,1334411.133724212,11875.046024160909,413.17481921202,1903395.85093,1333997.958905,3249682.030678373,12288.220843372928
ALB,Public Administration,39205.00215914368,1271567.308481257,30869.24589814368,5588.326507257,8335.756261000002,1265978.9819739999,1310772.3106404007,36457.57240540068
ALB,"Education, Health and Other Services",134154.5013595703,1483458.02605138,37400.566249570315,12778.953029379998,96753.93510999999,1470679.073022,1617612.5274109503,50179.51927895031
ALB,Private Households,25734.076874705926,23358.282161527604,25469.24718870593,5587.030753527601,264.8296859999973,17771.251408000004,49092.35903623353,31056.27794223353
ALB,Others,32326.254844111027,10925.490205013582,3045.3842341110235,314.35405801358,29280.87061,10611.136147000003,43251.74504912461,3359.7382921246035
ALB,Re-export & Re-import,12397.393960260915,2571.2093186754,12390.450062860915,2562.8868794754,6.943897400000424,8.32243920000019,14968.603278936316,14953.336942336315
DZA,Agriculture,13228554.03158183,9518887.998398105,219860.31068182905,50465.598398105096,13008693.720900001,9468422.4,22747442.029979937,270325.9090799341
DZA,Fishing,593304.589392391,449658.1894707951,30050.723722390896,6280.7109507951,563253.8656700001,443377.47852,1042962.7788631861,36331.434673186
DZA,Mining and Quarrying,30536695.092079602,779309.3715767056,30069594.759919602,83752.99157670561,467100.33215999976,695556.38,31316004.463656306,30153347.751496308
DZA,Food & Beverages,852835.3688988044,5235353.398277246,13396.564298804427,6030.67037724744,839438.8046,5229322.727899999,6088188.767176051,19427.234676051867
DZA,Textiles and Wearing Apparel,288794.16863508505,636036.8556927174,6863.627635085022,4979.38069271738,281930.541,631057.475,924831.0243278025,11843.008327802403
DZA,Wood and Paper,2722302.0356659084,400372.5945318997,14455.847365908183,1686.57453189966,2707846.1883,398686.0200000001,3122674.630197808,16142.421897807842
DZA,"Petroleum, Chemical and Non-Metallic Mineral Products",5234853.59971458,1939334.6052510024,1422487.7207645797,300727.5052510027,3812365.8789500003,1638607.0999999996,7174188.204965582,1723215.2260155824
DZA,Metal Products,2401719.455747142,713848.7305979511,22066.197747142483,2393.21059795104,2379653.2579999994,711455.52,3115568.186345093,24459.408345093525
DZA,Electrical and Machinery,2402556.2555543436,8289108.40658522,26297.153754343333,21758.806585220576,2376259.1018000003,8267349.6,10691664.662139565,48055.96033956391
DZA,Transport Equipment,507149.8693148477,4610057.498705361,4039.197414847618,2235.7987053612396,503110.6719000001,4607821.7,5117207.368020209,6274.996120208858
DZA,Other Manufacturing,547231.9075214623,966849.3780964197,3406.1515214622486,1844.3780964196803,543825.756,965005.0,1514081.285617882,5250.529617881929
DZA,Recycling,18077.064687041795,575061.7789159394,5103.725273141794,1641.43169793936,12973.339413900001,573420.347218,593138.8436029812,6745.156971081154
DZA,"Electricity, Gas and Water",6228975.580620694,6618184.875975659,4296.517220693128,662.0022056601001,6224679.063400001,6617522.8737699995,12847160.456596352,4958.5194263532285
DZA,Construction,1473011.6559257857,37276698.02854687,23024.873365785563,16037.3683918646,1449986.7825600002,37260660.660155006,38749709.68447266,39062.24175765016
DZA,Maintenance and Repair,147544.68733693007,392630.4498709864,13076.331136930065,3295.7598709863405,134468.3562,389334.69000000006,540175.1372079165,16372.091007916406
DZA,Wholesale Trade,4862179.0603839625,9492924.244141163,126515.53918396152,4255.2441411626205,4735663.521200001,9488669.0,14355103.304525126,130770.78332512414
DZA,Retail Trade,2543194.48580259,9911279.368163824,26267.583102590757,17081.81135182084,2516926.902699999,9894197.556812003,12454473.853966415,43349.394454411595
DZA,Hotels and Restraurants,949431.5769716682,6495505.6102764765,128389.30450166833,332028.5311864757,821042.2724699999,6163477.079090001,7444937.187248144,460417.835688144
DZA,Transport,6688322.597638134,5176843.648470677,724996.2015381339,235465.64847067895,5963326.3961,4941377.999999998,11865166.246108811,960461.8500088128
DZA,Post and Telecommunications,6199050.212955419,7608615.544104137,189199.2546554188,16300.55410413732,6009850.9583,7592314.99,13807665.757059556,205499.80875955612
DZA,Finacial Intermediation and Business Activities,13588474.697307624,13555498.035911242,1539.540207623056,184.03591124137003,13586935.157100001,13555314.0,27143972.733218864,1723.576118864426
DZA,Public Administration,35924.50848506015,18691484.333743494,4477.309375060155,10752.191272491402,31447.199109999994,18680732.142471004,18727408.842228554,15229.500647551557
DZA,"Education, Health and Other Services",461250.5747588051,14653588.401725156,50131.01540880506,24507.916725159303,411119.55935000005,14629080.484999998,15114838.976483962,74638.93213396436
